"ID","Title","Series","Text","Date1","Date2","Appt Pres","Case1","Case2","Case3","Citation"
1137,"Plessy v. Ferguson","SCt Case","Often listed in the worst decisions of the Supreme Court (along with Dred Scott, Korematsu, and Lochner), Plessey upheld ""separate but equal"" segregation against a strong, solo dissent from the first Justice Harlan.","1896",,,,,,"163 U.S. 537"
1138,"Northern Securities Co. v. United States","SCt Case","In a test of the Sherman Antitrust Act, the Supreme Court, 5-4, held that the Northern Securities Co., a holding company for railroads, had to be dissolved.","1904",,,,,,"193 U.S. 197"
1139,"Lochner v. New York","SCt Case","Interpreting the Due Process Clause of the 14th Amendment to guarantee liberty of contract, the Court struck down New York's maximum hours laws for bakers, enacted in order to safeguard their health.","1905",,,,,,"198 U.S. 45"
1140,"Ex parte Young","SCt Case","A seminal case that provides an end around state sovereign immunity, by allowing for injunctive relief against state officials.","1908",,,,,,"209 U.S. 123"
1141,"Muller v. Oregon","SCt Case","This case is perhaps most well-know for future Justice Brandeis's brief on behalf of Oregon, marshalling social science arguments in favor of Oregon's law restricting the length of the workweek for women. This was to become known as a ""Brandeis Brief.""","1908",,,,,,"208 U.S. 412"
1142,"Weeks v. United States","SCt Case","Federal agents cannot seize evidence from a home without a warrant and such evidence cannot be used at trial, thus establishing the exclusionary rule with regard to federal prosecutions.","1914",,,,,,"232 U.S. 383"
1143,"Pennsylvania Coal Co. v. Mahon","SCt Case","This case established the ""regulatory taking,"" in which a taking can occur not by physical deprivation of the property, but rather by governmental regulation of its use in a way that diminishes its useful value.","1922",,,,,,"260 U.S. 393"
1144,"Meyer v. Nebraska","SCt Case","In an early use of substantive due process to expand individual rights, the Court held that the Due Process Clause precluded Nebraska's ban on the teaching of foreign languages.","1923",,,,,,"262 U.S. 390"
1145,"Carroll v. United States","SCt Case","In establishing one of the first exceptions to the warrant requirement, the Supreme Court created an ""automobile exception"" allowing a warrantless search of a car.","1925",,,,,,"267 U.S. 132"
1146,"Pierce v. Society of Sisters","SCt Case","The Supreme Court held that a state's compulsory public education law forbidding private education, was a violation of substantive due process under the 14th Amendment.","1925",,,,,,"268 U.S. 510"
1147,"Buck v. Bell","SCt Case","The Supreme Court, in a heavily criticized decision, upheld a state statute mandating forced sterilization upon, among others, the mentally retarded, against a Due Process challenge.","1927",,,,,,"274 U.S. 200"
1148,"Near v. Minnesota","SCt Case","Though only a 5-4 decision at the time, Near established an almost insurmountable rule against prior restraints against publication under the First Amendment.","1931",,,,,,"283 U.S. 697"
1149,"Schechter Poultry Corp. v. United States","SCt Case","One of the cases that led to FDR's court-packing plan, the Court unanimously struck down part of the National Industrial Recovery Act as beyond Congress's Commerce Clause power.","1935",,,,,,"295 U.S. 495"
1150,"NLRB v. Jones & Laughlin Steel Corp.","SCt Case","A bend in the river that pointed towards the Court's acceptance of the New Deal, the Court upheld the National Labor Relations Act, the start of an almost 60-year unbroken string of Commerce Clause victories for Congress.","1937",,,,,,"301 U.S. 1"
1151,"Palko v. Connecticut","SCt Case","Though ultimately overruled, this case set the tone for the Court's ""selective incorporation"" of the Bill of Rights through the 14th Amendment; here, though, the Court held that the protection against double jeopardy did not apply to the states.","1937",,,,,,"302 U.S. 319"
1152,"United States v. Carolene Products Co.","SCt Case","Footnote 4 of this case, which was dicta, established the basis for heightened judicial review in cases of laws directed towards ""discrete and insular minorities.""","1938",,,,,,"304 U.S. 144"
1153,"Chaplinsky v. New Hampshire","SCt Case","The Supreme Court held that ""fighting words"" likely to provoke an immediate breach of the peace, are not entitled to First Amendment protection.","1942",,,,,,"315 U.S. 568"
1154,"Wickard v. Filburn","SCt Case","The Court upheld Congress's regulation of wheat that did not move in interstate commerce due to the cumulative effects the ""intrastate"" wheat on the price of ""interstate"" wheat were the former not regulated; perhaps the furthest extent granted to Congress's Commerce Clause power.","1942",,,,,,"317 U.S. 111"
1155,"Korematsu v. United States","SCt Case","The 20th Century analogue to Dred Scott, the Court upheld the executive order interning Japanese-American citizens during World War II. One of the Court's most criticized decisions.","1944",,,,,,"323 U.S. 214"
1156,"Shelley v. Kraemer","SCt Case","The Supreme Court held that a state court's enforcement of a restrictive covenant amounted to state action, and thus was unconstitutional under the 14th Amendment.","1948",,,,,,"334 U.S. 1"
1157,"Youngstown Sheet & Tube Co. v. Sawyer","SCt Case","The Supreme Court held that the president did not have the authority to size the nation's steel mills, in order to avert a strike during the Korean War, without Constitutional or statutory authority; Justice Jackson's concurrence has emerged as the standard for assessing Presidential power.","1952",,,,,,"343 U.S. 579"
1158,"Brown v. Board of Education of Topeka","SCt Case","In one of the Supreme Court's most important and best-known cases, the Court unanimously struck down racial segregation in public schools.","1954",,,,,,"347 U.S. 483"
1159,"NAACP v. Alabama","SCt Case","The Supreme Court held that Alabama, in an attempt to keep the NAACP from agitating within the state, could not compel the NAACP to provide membership lists to the state by virtue of the Due Process Clause of the 14th Amendment.","1958",,,,,,"357 U.S. 449"
1160,"Mapp v. Ohio","SCt Case","In Mapp, the Supreme Court extended the exclusionary rule, which bars the use of evidence obtained in violation of the 4th Amendment in a criminal trial, to state criminal proceedings.","1961",,,,,,"367 U.S. 643"
1161,"Baker v. Carr","SCt Case","A watershed reapportionment case, in which the Supreme Court held that a dispute over legislative redistricting was not a ""political question"" and thus could be decided by the Court.","1962",,,,,,"369 U.S. 186"
1162,"Engel v. Vitale","SCt Case","The Supreme Court held that it is a violation of the Establishment Clause for states to compose an official prayer for recitation in their public schools.","1962",,,,,,"370 U.S. 421"
1163,"Gideon v. Wainwright","SCt Case","In Gideon, the Supreme Court unanimously extended the 6th Amendment guarantee of representation by counsel in a criminal trial to the states.","1963",,,,,,"372 U.S. 335"
1164,"New York Times Co. v. Sullivan","SCt Case","New York Times v. Sullivan set the standard for defamation of public figures, holding that plaintiffs must prove actual malice to prevail.","1964",,,,,,"376 U.S. 254"
1165,"Reynolds v. Sims","SCt Case","Upholding the principle of ""one man, one vote,"" the Supreme Court held that state legislative districts had to be of roughly equal populations.","1964",,,,,,"377 U.S. 533"
1166,"Griswold v. Connecticut","SCt Case","Finding a right to privacy in the ""penumbras"" of the Bill of Rights, the Court struck down a Connecticut statute outlawing the sale of contraceptives to married couples.","1965",,,,,,"381 U.S. 479"
1167,"Miranda v. Arizona","SCt Case","The Court held that in order to protect the right against self-incrimination, the police need to advise a person in custody of his constitutional right to remain silent and to have an attorney present at questioning.","1966",,,,,,"384 U.S. 436"
1168,"Terry v. Ohio","SCt Case","Terry set the standard for a brief, investigatory stop when a police officer has ""reasonable suspicion"" that the person under surveillance has committed or is about to commit a crime. The stop may include a pat-and-frisk for the officer's protection and does not require probable cause to arrest.","1968",,,,,,"392 U.S. 1"
1169,"Tinker v. Des Moines Indep. Cmty. Sch. Dist.","SCt Case","In a case dealing with junior & high school students' protest of the Vietnam War, the Court set the standard for evaluating student speech claims under the First Amendment, holding that students still retain some First Amendment rights even while in school.","1969",,,,,,"393 U.S. 503"
1170,"Bivens v. Six Unknown Named Agents","SCt Case","The Supreme Court in Bivens held that there was an implied cause of action against federal agents for some constitutional violations, in this case, a violation of the Fourth Amendment.","1971",,,,,,"403 U.S. 388"
1171,"Swann v. Charlotte-Mecklenburg Bd. of Educ.","SCt Case","In Swann, the Court upheld as a remedy in some cases the use of forced busing of students beyond district boundaries and the nearest school in order to integrate racially-segregated schools.","1971",,,,,,"402 U.S. 1"
1172,"Furman v. Georgia","SCt Case","With 5 concurring opinions in a 5-4 decision, the Court held that the standardless and arbitrary imposition of the death penalty as currently imposed was unconstitutional under the 8th Amendment.","1972",,,,,,"408 U.S. 238"
1173,"Roe v. Wade","SCt Case","Allegedly, Chief Justice Burger joined the majority so that he could assign the opinion, which went to his friend, Justice Blackmun. Of course, this is one of the Court's most controversial decisions, upholding the right to choose an abortion.","1973",,,,,,"410 U.S. 113"
1174,"United States v. Nixon","SCt Case","Ruling unanimously, the Court held that the president cannot claim executive privilege in order to prevent evidence from being presented in a criminal trial; arising out of the Watergate affair, President Nixon resigned 15 days after the opinion issued.","1974",,,,,,"418 U.S. 683"
1175,"Buckley v. Valeo","SCt Case","In the first major campaign finance reform case, the Supreme Court upheld most contribution limits, but struck down limits on candidates's own contributions.","1976",,,,,,"424 U.S. 1"
1176,"Gregg v. Georgia","SCt Case","Voting 7-2 to reinstate the death penalty after states revised their capital statutes in response to Furman, the majority opinion was a rare joint opinion by three justices: Stewart, Powell, and Stevens.","1976",,,,,,"428 U.S. 153"
1177,"Regents of the University of California v. Bakke","SCt Case","In a fractured 4-1-4 decision, the Court struck down U. of California-Davis's set aside program for med school, but upheld the use of affirmative action measures in some circumstances; Justice Powell's concurrence is considered the precedential opinion.","1978",,,,,,"438 U.S. 265"
1178,"Chevron U.S.A. v. NRDC","SCt Case","The Supreme Court articulated the standard to be applied in evaluating the level of deference to give to an agency interpretation of a Congressional statute, now known as ""Chevron deference.""","1984",,,,,,"467 U.S. 837"
1179,"Strickland v. Washington","SCt Case","Strickland is the seminal case regarding ineffective assistance of counsel. To meet the Strickland test, defendant's attorney's performance must have fallen below an objective standard of performance AND, had he performed adequately, the defendant would've prevailed.","1984",,,,,,"466 U.S. 668"
1180,"United States v. Leon","SCt Case","The Supreme Court held that the exclusionary rule will not bar the introduction of evidence seized under a faulty warrant if the officers executing the warrant acted in ""good faith"" on the warrant's validity.","1984",,,,,,"468 U.S. 897"
1181,"Garcia v. San Antonio Metro. Transit Auth.","SCt Case","Reversing a 9-year-old precedent, the Court held that Congress had power under the Commerce Clause to extend minimum wage and 40-hour workweek restrictions to employees of state and local governments.","1985",,,,,,"469 U.S. 528"
1182,"Batson v. Kentucky","SCt Case","The Supreme Court held that the use of peremptory challenges to exclude jurors solely on the basis of race violated the Equal Protection Clause.","1986",,,,,,"476 U.S. 79"
1183,"Employment Division v. Smith","SCt Case","The Supreme Court upheld Oregon's denial of unemployment benefits to employees fired for using peyote as part of a religious ceremony.","1990",,,,,,"494 U.S. 872"
1184,"Planned Parenthood v. Casey","SCt Case","In a joint opinion by Justices O'Connor, Kennedy, & Souter, Roe v. Wade was upheld, but Roe's trimester framework was replaced by O'Connor's undue burden test to determine whether a state's regulation of abortion is constitutional.","1992",,,,,,"505 U.S. 833"
1185,"United States v. Lopez","SCt Case","For the 1st time since the New Deal, the Court held that an act of Congress, the Gun-Free School Zone Act, was not a valid exercise of Congress's Commerce Clause power.","1995",,,,,,"514 U.S. 549"
1186,"Romer v. Evans","SCt Case","The Supreme Court, per Kennedy, struck down Colorado's state amendment 2, disallowing local governments from passing laws protecting gays from discrimination. Though vague, the court suggested the law did not survive even rational basis.","1996",,,,,,"517 U.S. 62"
1187,"Apprendi v. New Jersey","SCt Case","The watershed case in the sentencing revolution, Apprendi held that any fact that could increase the defendant's sentence, other than that of a prior conviction, must be found by the jury beyond a reasonable doubt, rather than by a judge as an aggravating sentencing factor.","2000",,,,,,"530 U.S. 466"
1188,"Bush v. Gore","SCt Case","Effectively ending the recount in Florida, the Court held 5-4 that it was an equal protection violation for contested votes to be evaluated differently in different Florida counties, effectively allowing Florida's prior certification of the results in favor of George W. Bush to stand.","2000",,,,,,"531 U.S. 98"
1189,"Stenberg v. Carhart","SCt Case","The Supreme Court narrowly struck down Nebraska's partial birth abortion ban on vagueness grounds.","2000",,,,,,"530 U.S. 914"
1190,"Lawrence v. Texas","SCt Case","Authored by Justice Kennedy, Lawrence delivered one of the harshest rebukes to prior Supreme Court precedent: ""Bowers was not correct when it was decided, and it is not correct today."" The Court thus struck down a Texas law criminalizing sodomy.","2003",,,,,,"539 U.S. 558"
1191,"McConnell v. FEC","SCt Case","In some 200+ pages, the Supreme Court upheld and struck down various portions of the McCain-Feingold Campaign Finance Reform Act. It did not get any clearer after this.","2003",,,,,,"540 U.S. 93"
1192,"Crawford v. Washington","SCt Case","In a seminal Confrontation Clause case, the Supreme Court held that for out of court testimonial statements to be admitted against a defendant, they must have been subjected to cross-examination.","2004",,,,,,"541 U.S. 36"
1193,"Hamdi v. Rumsfeld","SCt Case","The Supreme Court held, without a majority opinion, that the federal government cannot hold a US citizen indefinitely without due process, even if allegedly a terrorist.","2004",,,,,,"542 U.S. 507"
1194,"Kelo v. City of New London","SCt Case","In a controversial decision that led to many states changing their eminent domain laws, the Supreme Court upheld a city's taking of private property, holding that economic development can be a ""public purpose"" under the 5th Amendment.","2005",,,,,,"545 U.S. 469"
1195,"Roper v. Simmons","SCt Case","Overruling Stanford v. Kentucky, the Court held that it is unconstitutional to execute an offender for a crime committed while a minor.","2005",,,,,,"543 U.S. 551"
1196,"Hamdan v. Rumsfeld","SCt Case","In a 5-3 decision with 6 of 8 justices writing an opinion, the Court held that the military commissions at Guantanamo did not conform with the Uniform Code of Military Justice or the Geneva Conventions.","2006",,,,,,"548 U.S. 557"
1197,"PICS v. Seattle Sch. Dist. #1","SCt Case","The Court, in a 4-1-4 decision, struck down the race-based school assignments in Seattle and Jefferson County, KY, holding that they were not narrowly tailored to achieve the state's interest; Justice Kennedy's swing vote laid out the standard for a state's compelling interest in a diverse student body.","2007",,,,,,"551 U.S. 701"
1198,"District of Columbia v. Heller","SCt Case","Finally settling a long-standing dispute over the meaning of the Second Amendment, the Supreme Court held that it guaranteed an individual, rather than a collective, right to keep and bear arms for self-defense, at least when applied to the home.","2008",,,,,,"554 U.S. 570"
1199,"Citizens United v. FEC","SCt Case","The watershed Supreme Court case striking down parts of the McCain-Feingold Act, including the limit on independent expenditures by corporations and unions.","2010",,,,,,"558 U.S. 310"
1201,"John Rutledge","Justice","Prior to his later recess appointment to Chief Justice, Rutledge was President Washington's first appointment for associate justice on the Court. Rutledge resigned from the Court without ever deciding a case, electing to become Chief Justice of South Carolina instead.","1789","1791","Washington",,,,
1202,"John Blair, Jr.","Justice","A noted jurist, Blair helped frame Virginia's Declaration of Rights, served at the Constitutional Convention, was appointed to Virginia's first court of appeals and, ultimately, was appointed by President Washington to be an original member of the Supreme Court.","1789","1795","Washington","Chisholm v. Georgia","Hayburn's Case",,
1203,"James Wilson","Justice","James Wilson was a signer of the Declaration of Independence, a member of the Constitutional Convention, and an original member of the Supreme Court. His lectures in Philadelphia are considered the founding events of the University of Pennsylvania Law School.","1789","1798","Washington","Hayburn's Case","Ware v. Hylton","Chisholm v. Georgia",
1204,"William Cushing","Justice","Justice Cushing was the longest-serving member of George Washington's original appointments to the Court; he also would have been the 3rd Chief Justice, had he not declined President Washington's nomination to the position.","1789","1810","Washington","Calder v. Bull","Chisolm v. Georgia","Hayburn's Case",
1205,"Thomas Johnson","Justice","The first governor of Maryland, Thomas Johnson also has the distinction of the shortest tenure on the Supreme Court (as of 2013), serving less than 6 months after confirmation due to the rigors of circuit riding. He later became chief judge of the District of Columbia.","1792","1793","Washington","Georgia v. Brailsford",,,
1206,"William Paterson","Justice","The namesake of Paterson, NJ, Paterson was the 2nd governor of the state, a signer of the Constitution, and a US senator before being appointed to the Supreme Court by President Washington.","1793","1806","Washington","Hylton v. United States","Stuart v. Laird","Calder v. Bull",
1207,"Samuel Chase","Justice","A signer of the Declaration of Independence, Chase was the only justice impeached by the House (for his work as a trial judge riding circuit), though he was acquitted on all counts by the Senate.","1796","1811","Washington","Ware v. Hylton","Calder v. Bull","Hylton v. United States",
1208,"Bushrod Washington","Justice","The nephew of George Washington, Bushrod Washington's most famous case came while riding circuit; in an oft-cited opinion in Corfield v. Coryell, he outlined the rights deemed to be ""fundamental,"" which became the basis for future interpretations of the Privileges & Immunities Clause.","1798","1829","J. Adams","Ogden v. Saunders","Corfield v. Coryell (on circuit duty)","Green v. Biddle",
1209,"Alfred Moore","Justice","In his short tenure on the Court (5 years), Moore wrote only one opinion. Despite a distinguished career as a state court judge, Revolutionary War soldier, and lawyer, his Supreme Court service has landed him on lists of the worst justices. He was also the shortest justice, coming in at 4'5"".","1800","1804","J. Adams","Bas v. Tingy",,,
1210,"William Johnson","Justice","Jefferson's first appointment to the Court, and the first non-Federalist on the Supreme Court, Johnson was nonetheless an independent voice, breaking at different times with an often otherwise unanimous Marshall Court, his president, or his home state of South Carolina.","1804","1834","Jefferson","United States v. Hudson & Goodwin","Cherokee Nation v. Georgia (concurrence)","Ogden v. Saunders",
1211,"Henry Brockholst Livingston","Justice","Appointed by Jefferson to the Marshall Court, Livingston had previously served in the Continental Army, including as an aide-de-camp to a pre-traitorous Benedict Arnold at the Battle of Saratoga. He also served as the private secretary to the first Chief Justice, John Jay, during Jay's tenure as minister to Spain.","1807","1823","Jefferson","United States v. Smith (dissent)","Rose v. Himely","Evans v. Eaton (dissent)",
1212,"Thomas Todd","Justice","A founder of the state of Kentucky, Todd was appointed to a newly-created seat on the Court by President Jefferson. As his tenure was as part of the Marshall Court, he authored no significant constitutional opinions, and was labeled ""The Most Insignificant Justice"" in an article by now-Circuit Judge Frank Easterbrook.","1807","1826","Jefferson","Preston v. Browder","Riggs v. Taylor","Watts v. Lindsey's Heirs",
1213,"Gabriel Duvall","Justice","Against now-Judge Easterbrook's nomination of Justice Thomas Todd, law professor David Currie nominates Justice Duvall, who authored 15 majority opinions in 24 years, for the title of ""Most Insignificant Justice.""","1811","1835","Madison","Prince v. Bartlett","United States v. Tenbroek","Piles v. Bouldin",
1214,"Smith Thompson","Justice","Monroe's Secretary of the Navy when appointed to the Court, Thompson unsuccessfully ran 5 years later for governor of New York; losing, he remained on the bench until his death.","1823","1843","Monroe","Kendall v. United States ex rel. Stokes","Wheaton v. Peters (dissent)","Ogden v. Saunders",
1215,"Robert Trimble","Justice","Trimble was President John Quincy Adams' only nominee to the Court, and was also the first district court judge to be elevated to the  Supreme Court. Serving on the Marshall Court, he wrote few opinions, though did command a majority (over a rare Marshall dissent) in Ogden v. Saunders.","1826","1828","J.Q. Adams","Ogden v. Saunders","Elliott v. Peirsoll's Lessee","Edwards' Lessee v. Darby",
1216,"Henry Baldwin","Justice","After serving in the House, Baldwin was appointed to the Court by Andrew Jackson.  He was the sole dissenting justice in the case of The Amistad, which freed 36 slaves from that ship.","1830","1844","Jackson","United States v. Segui","Worcester v. Georgia (dissent)","Wheaton v. Peters (dissent)",
1217,"John McLean","Justice","Justice McLean, appointed by Democrat Andrew Jackson, moved across the political spectrum throughout his career, writing a stinging dissent in Dred Scott, and, ultimately receiving votes at the 1860 Republican Convention for president, a nomination that went in the end to Abraham Lincoln.","1830","1861","Jackson","License Cases","Scott v. Sandford (dissent)","Passenger Cases",
1218,"James Moore Wayne","Justice","A Jacksonian Democrat and a Georgian, Wayne was nominated to the Court by Andrew Jackson while serving in the House. At the outbreak of the Civil War, Moore remained loyal to the Union, unlike his colleague James Archibald Campbell, despite Moore's son serving as a general in the Confederate Army.","1835","1867","Jackson","Dobbins v. Erie County","Dodge v. Woolsey","Louisville R. Co. v. Letson",
1219,"Philip Pendleton Barbour","Justice","Barbour was at one time Speaker of the House. He was nominated to the Court by Andrew Jackson, after almost being nominated as Jackson's running mate in place of Martin Van Buren.  He died in the midst of John Quincy Adams' oral argument in The Amistad case.","1836","1841","Jackson","New York v. Miln","Mayor, etc. City of Georgetown v. Alexandria Canal Co.","Van Ness v. Hyatt",
1220,"John McKinley","Justice","McKinley served Alabama as both a Senator and a Congressman prior to his appointment to the Court by President Van Buren. He was a senator-elect at the time of his appointment.","1837","1852","Van Buren","Passenger Cases","Pollard v. Hagan","Hickey's Lessee v. Stewart",
1221,"John Catron","Justice","Catron, a Southerner and slaveholder appointed by Jackson, was opposed to secession, and remained on the Court throughout the Civil War. He was the only justice to hold his seat; it was newly-created when he was appointed, and eliminated upon his death.","1837","1865","Jackson","Passenger Cases","License Cases","Smith v. Tyson (concurrence/dissent)",
1222,"Peter Vivian Daniel","Justice","Justice Daniel is perhaps most noted for joining the majority in Dred Scott as well as upholding the Fugitive Slave Act. He also was nominated twice to replace Justice Barbour, both on the district court and on the Supreme Court.","1842","1860","Van Buren","W. River Bridge Co. v. Dix","License Cases","Cooley v. Bd. of Wardens of the Port of Phila. (concurrence)",
1223,"Levi Woodbury","Justice","The first justice to attend (but not graduate from) law school, Woodbury was a Senator and also served in the Cabinets of Presidents Van Buren and Jackson.","1845","1851","Polk","License Cases","Jones v. Van Zandt","Luther v. Borden (dissent)",
1224,"Samuel Nelson","Justice","President John Tyler had 2 Court vacancies to fill during his term; Justice Nelson was his only successful nominee (after four failures for his position).","1845","1872","Tyler","Hotchkiss v. Greenwood","Collector v. Day","Scott v. Sandford (concurrence)",
1225,"Robert Cooper Grier","Justice","Appointed to the Court by Polk, after Polk's predecessor John Tyler was unable to make a successful nomination, Grier joined the Court with Chief Justice Taney, and joined the opinion in Dred Scott, the decision in which he reportedly leaked to President-elect Buchanan.","1846","1870","Polk","Prize Cases","License Cases","Passenger Cases",
1226,"Benjamin Robbins Curtis","Justice","Curtis was the first, and only, justice from the Whig party, which was generally anti-slavery. His was one of two dissents in the Dred Scott case.  He resigned from the Court shortly after the decision. Although sources vary, many consider his to be the only resignation from the Court based on principle.","1851","1857","Fillmore","Cooley v. Bd. of Wardens of the Port of Phila.","Murray's Lessee v. Hoboken Land & Improvement Co.","Scott v. Sandford (dissent)",
1227,"John Archibald Campbell","Justice","The only justice appointed by Franklin Pierce, Campbell resigned from the Court after the Confederate attack on Fort Sumter, joining the Confederacy as Assistant Secretary of War.  He later argued before the Court in the Slaughterhouse Cases.","1853","1861","Pierce","Scott v. Sandford (concurrence)","Winans v. Denmead (dissent)","Dodge v. Woolsey (dissent)",
1228,"Nathan Clifford","Justice","A pro-slavery Democrat, Clifford served in the House and as President Polk's attorney general prior to his service on the Supreme Court; he also negotiated the Treaty of Guadalupe Hidalgo with Mexico, which brought California into the U.S.","1858","1881","Buchanan","Baker v. Morton","Crandall v. Nevada (concurrence)","United States v. Cruikshank (concurrence/dissent)",
1229,"David Davis","Justice","A trusted confidante of fellow Illinoisan Abraham Lincoln, Lincoln appointed Davis to the Court to succeed John Campbell, who retired to join the Confederacy. Davis wrote the seminal opinion in Ex parte Milligan.","1862","1877","Lincoln","Ex parte Milligan","Bradley v. Fisher (dissent)","Davis v. Gray (dissent)",
1230,"Noah Haynes Swayne","Justice","President Lincoln's first appointment to the Court, Swayne, a Quaker, was an abolitionist. He dissented from the Court's crabbed view of the 14th Amendment in the Slaughterhouse Cases, and eventually agreed to retire on the condition that his friend, Stanley Matthews, be named as his replacement.","1862","1881","Lincoln","Springer v. United States","Gelpcke v. Dubuque","Texas v. White (concurrence/dissent)",
1231,"Samuel Freeman Miller","Justice","Appointed by Lincoln, Miller served a long tenure on the Court; though he was antislavery, he ultimately adopted a narrow view of the scope of the 14th Amendment, authoring the majority opinions in both the Slaughterhouse Cases and Bradwell v. Illinois.","1862","1890","Lincoln","Slaughterhouse Cases","Bradwell v. Illinois","Head Money Cases",
1232,"William Strong","Justice","An abolitionist Democrat-turned-Republican, Strong was appointed by President Grant after Grant's first choice, Lincoln's Secretary of War Edwin Stanton, died 4 days after confirmation.","1870","1880","Grant","Strauder v. West Virginia","Knox v. Lee","Parker v. Davis",
1233,"Ward Hunt","Justice","Appointed by President Grant, Justice Hunt's most interesting case as a jurist came while riding circuit, in which he held Susan B. Anthony in violation of the voting laws, fining her $100.","1873","1882","Grant","Pennoyer v. Neff (dissent)","United States v. Susan B. Anthony (on circuit duties)","United States v. Reese (dissent)",
1234,"William Burnham Woods","Justice","Woods, a Civil War veteran, became the first post-War appointment to the Court from a Confederate state, though he was a Northerner by birth.  Appointed by President Hayes, he only served on the Court for six years until his death.","1881","1887","Hayes","Presser v. Illinois","Egbert v. Lippman","United States v. Harris",
1235,"Stanley Matthews","Justice","Appointed by Hayes at the end of his term as President, and re-nominated by Garfield, Matthews had the closest Senate vote of any successful nominee to the Supreme Court, being confirmed by a single vote, 24-23.","1881","1889","Garfield","Yick Wo v. Hopkins","Ex parte Crow Dog","Hurtado v. California",
1236,"Samuel Blatchford","Justice","Justice Blatchford was the first Supreme Court justice to have served as both a district and circuit court judge prior to his appointment. With future Secretary of State Seward, he co-founded the law firm known today as Cravath, Swaine & Moore.","1882","1893","Arthur","Budd v. New York","Chicago, Milwaukee & St. Paul R. Co. v. Minnesota","Counselman v. Hitchcock",
1237,"Horace Gray","Justice","Though he joined the majority in Plessey, Gray also authored the opinion upholding birthright citizenship for a Chinese child born in the U.S. to non-citizen parents. Gray was the first justice to employ law clerks.","1882","1902","Arthur","United States v. Wong Kim Ark","Elk v. Wilkins","Cole v. La Grange",
1238,"Lucius Quintus C. Lamar","Justice","A Mississippian, Lamar served in the House, but resigned to join the Confederacy, serving in the army and also as Confederate Minister to Russia; later, he served again in the House & Senate and as Secretary of the Interior before being appointed to the Court by President Cleveland.","1888","1893","Cleveland","Kidd v. Pearson","In re Neagle (dissent)","Marshall Field & Co. v. Clark (dissent)",
1239,"David Josiah Brewer","Justice","Born in the then-Ottoman Empire where his parents ran a school, Justice Brewer served on the Court with his uncle, Justice Field (another uncle, David Field, established the Field Code, reforming pleading in civil procedure). He was away from the Court during Plessy v. Ferguson due to his daughter's death.","1890","1910","B. Harrison","Muller v. Oregon","In re Debs","Louisville, N.O. & Tex. Ry. Co. v. Mississippi",
1240,"Henry Billings Brown","Justice","Though he served 31 years as a federal judge, almost half of them on the Supreme Court, Justice Brown will likely always be remembered for writing the majority opinion in Plessy v. Ferguson, upholding separate-but-equal laws.","1891","1906","B. Harrison","Plessy v. Ferguson","De Lima v. Bidwell","Holden v. Hardy",
1241,"George Shiras, Jr.","Justice","Justice Shiras, appointed by President Benjamin Harrison, had 37 years of experience in private practice but, as of 2013, was the only justice with no history of public service prior to his appointment to the Court.","1892","1903","B. Harrison","Ill. Cent. R. v. Illinois (dissent)","Malony v. Adsit","Mattox v. United States (dissent)",
1242,"Howell Edmunds Jackson","Justice","A Democrat nominated by the Republican Benjamin Harrison, the Tennessean Jackson had previously served the Confederacy as a receiver of confiscated Union property. He later was elected to the House and appointed to the Senate before his nomination to the Court.","1893","1895","B. Harrison","Sparf v. United States (concurrence)","Pollock v. Farmers' Loan & Trust Co. (dissent)","Miller v. Eagle Mfg. Co.",
1243,"Edward Douglass White","Justice","As an associate justice, White joined the majority in Plessy v. Ferguson; a Louisiana native, he was the first Chief Justice to be replaced in that role by the president (Taft) that had appointed him.","1894","1910","Cleveland","McCray v. United States","Lone Wolf v. Hitchcock","Talton v. Mayes",
1244,"Rufus Wheeler Peckham","Justice","A stalwart champion of the use of substantive due process to stymie governmental regulation of the economy, Peckham was the author of Lochner v. New York.","1896","1909","Cleveland","Lochner v. New York","Allgeyer v. Louisiana","Ex parte Young",
1245,"Joseph McKenna","Justice","Having served in both the House and as Attorney General, Justice McKenna resigned from the Court, after almost 27 years, when requested to do so by Chief Justice Taft due to McKenna's failing abilities from the aftereffects of a stroke.","1898","1925","McKinley","Weems v. United States","Bunting v. Oregon","Williams v. Mississippi",
1246,"William Rufus Day","Justice","Day served as Secretary of State and on the 6th Circuit under McKinley and was appointed to the Court by Teddy Roosevelt, where he earned a reputation as a trust-buster.","1903","1922","T. Roosevelt","Hammer v. Dagenhart","Weeks v. United States","Buchanan v. Warley",
1247,"William Henry Moody","Justice","Having also served in the House and as attorney general and secretary of the navy, Moody only served 4 years on the Court, suffering from poor health. A reputed trust-buster in both the Justice Department and on the bench, Moody was responsible for some significant opinions despite his short tenure.","1906","1910","T. Roosevelt","Twining v. New Jersey","Londoner v. Denver","Berea Coll. v. Kentucky (concurrence)",
1248,"Horace Harmon Lurton","Justice","Serving only four years on the Court, Lurton, a Democrat who served in the Confederate Army, was appointed by Taft, a Republican; he was the oldest justice ever appointed to the Court","1910","1914","Taft","Coyle v. Smith","Charlton v. Kelly","Adams Express Co. v. Croninger",
